customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,monthly_revenue,annual_revenue,lifetime_value,usage_trend_3m,support_ticket_count,inactivity_score,revenue_risk_score,high_value_customer
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,29.85,358.20000000000005,29.85,-1.5382082247841748,1,0.2299760999794177,6.864786584385619,0
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,56.95,683.4000000000001,1936.3000000000002,-0.6013379212013071,2,0.9369283725064959,53.35807081424494,1
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,53.85,646.2,107.7,-1.1431424824111132,2,0.4547050430293278,24.485866567129303,0
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,42.3,507.59999999999997,1903.4999999999998,1.7531986714933983,1,0.043288520980130474,1.831104437459519,1
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,70.7,848.4000000000001,141.4,-1.122959631938933,2,0.7666298978463512,54.20073377773703,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,99.65,1195.8000000000002,797.2,0.12635545778884288,0,0.12628566566419985,12.584366583437516,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,89.1,1069.1999999999998,1960.1999999999998,0.7834553984145266,1,0.4474980912930927,39.872079934214554,1
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,29.75,357.0,297.5,-1.2110604479011493,2,0.7535345389727192,22.417652534438396,0
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,104.8,1257.6,2934.4,0.008999029770023825,4,0.3085156948671237,32.332444822074564,1
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,56.15,673.8,3481.2999999999997,-0.8639527130717729,6,0.6242398466383384,35.0510673887427,1
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,49.95,599.4000000000001,649.35,-1.2518724959198506,3,0.5498160686520285,27.463312629168826,0
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,18.95,227.39999999999998,303.2,-0.4122756733279225,4,0.38972489301443025,7.385286722623453,0
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,100.35,1204.1999999999998,5820.299999999999,0.6912950864206558,1,0.14444044372078113,14.494598527380386,1
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,103.7,1244.4,5081.3,0.2677531494977764,2,0.6392298025192368,66.28813052124485,1
